car, image_link, price, description
Toyota Corolla,https://im.mashina.kg/tachka/images//c/1/b/c1bf9f7e2bf0f5ae32ca50ee598ae296_640x480.jpg,2 880 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- 16"" легкосплавные диски, шины 205/55R16
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Механическая корректировка угла наклона фар
- Галогеновые фары ближнего и дальнего света
- Светодиодные передние противотуманные фары
- Электрообогрев лобового стекла в зоне стеклоочистителей

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- Тканевая обивка сидений
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Система мониторинга давления в шинах
- Обогрев заднего стекла
- Набор автомобилиста
- Мультифункциональное кожаное рулевое колесо с подогревом
- Индикатор низкого уровня омывающей жидкости
- Датчик света
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 4.2` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 4 подушки безопасности: 2 фронтальные, 2 передние боковые
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- Кондиционер
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40
"
Toyota Corolla,https://im.mashina.kg/tachka/images//2/2/6/22683843aed6a3166f2958859e3c9404_640x480.jpg,2 880 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- 16"" легкосплавные диски, шины 205/55R16
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Механическая корректировка угла наклона фар
- Галогеновые фары ближнего и дальнего света
- Светодиодные передние противотуманные фары
- Электрообогрев лобового стекла в зоне стеклоочистителей

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- Тканевая обивка сидений
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Система мониторинга давления в шинах
- Обогрев заднего стекла
- Набор автомобилиста
- Мультифункциональное кожаное рулевое колесо с подогревом
- Индикатор низкого уровня омывающей жидкости
- Датчик света
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 4.2` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 4 подушки безопасности: 2 фронтальные, 2 передние боковые
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- Кондиционер
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40
"
Toyota Corolla,https://im.mashina.kg/tachka/images//c/9/5/c956c95f9593f505da52ebbe05086e88_640x480.jpg,2 880 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- 16"" легкосплавные диски, шины 205/55R16
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Механическая корректировка угла наклона фар
- Галогеновые фары ближнего и дальнего света
- Светодиодные передние противотуманные фары
- Электрообогрев лобового стекла в зоне стеклоочистителей

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- Тканевая обивка сидений
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Система мониторинга давления в шинах
- Обогрев заднего стекла
- Набор автомобилиста
- Мультифункциональное кожаное рулевое колесо с подогревом
- Индикатор низкого уровня омывающей жидкости
- Датчик света
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 4.2` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 4 подушки безопасности: 2 фронтальные, 2 передние боковые
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- Кондиционер
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40
"
Toyota Camry,https://im.mashina.kg/tachka/images//f/f/8/ff8000c7229bc80793b7c31cca952b97_640x480.jpg,3 163 680 сом,"Toyota Camry 2.5s Knight (Максимальная)
8-ступенчатая автоматическая коробка передач
Мощность: 209 л.с
Габариты:4900x1840x1455
Размеры колес: 235/45/R18
Крепление ISO FIX: присутствует
Салон: Кожа
Люк: Панорама
Размер монитора: 12.3"
Skywell ET5,https://im.mashina.kg/tachka/images//6/5/b/65b761819c4b72c22264624e67f2abe8_640x480.jpg,3 647 020 сом,"Кроссовер skywell et5.
Комплектация lv3 (Максимальная)
имеет очень комфортный и продуманный салон с подогревом и обдувом передних сидений, так же имеется беспроводная зарядка для телефона, и 12.3 дисплей

15 автономных функций
Скорость зарядки - от 30 мин до 9 часов
Авторизированный сервис
Запас хода до 520 км
Максимальная скорость - 150 км
Мощность двигателя - 150квт
Максимальный крутящий момент - 320 н-м
Система рекуперации энергии
Быстрая зарядка
Подогрев батареи
"
Toyota Corolla,https://im.mashina.kg/tachka/images//c/2/a/c2a3546e852ed5faaad2de8c482d40e8_640x480.jpg,2 880 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- 16"" легкосплавные диски, шины 205/55R16
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Механическая корректировка угла наклона фар
- Галогеновые фары ближнего и дальнего света
- Светодиодные передние противотуманные фары
- Электрообогрев лобового стекла в зоне стеклоочистителей

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- Тканевая обивка сидений
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Система мониторинга давления в шинах
- Обогрев заднего стекла
- Набор автомобилиста
- Мультифункциональное кожаное рулевое колесо с подогревом
- Индикатор низкого уровня омывающей жидкости
- Датчик света
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 4.2` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 4 подушки безопасности: 2 фронтальные, 2 передние боковые
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- Кондиционер
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40
"
Toyota Corolla,https://im.mashina.kg/tachka/images//f/b/8/fb8007fd506cc6b9df93d7012b12330c_640x480.jpg,3 195 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- Легкосплавные диски, шины 225/45R17
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Тонировка задних стекол
- Механическая корректировка угла наклона фар
- Светодиодная передняя и задняя оптика
- Светодиодные передние противотуманные фары
- Электроскладывамые боковые зеркала заднего вида
- Электрообогрев лобового стекла в зоне стеклоочистителей
- Интеллектуальная система доступа в автомобиль Smart Entry и запуск двигателя Push Start
- Легкосплавные диски, шины 225/45R17 (новый дизайн)

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Салонное зеркало заднего вида с автоматическим затемнением
- Передние и задние датчики парковки
- Система мониторинга давления в шинах
- Круиз-контроль
- Обогрев заднего стекла
- Набор автомобилиста
- Комбинированная обивка сидений
- Электрорегулировка поясничной опоры для водителя
- Подогрев задних сидений
- Мультифункциональное кожаное рулевое колесо с подогревом
- Светодиодная подсветка салона автомобиля
- Воздуховоды для задних пассажиров
- Индикатор низкого уровня омывающей жидкости
- Коврик багажника
- Комплект секретных гаек (4шт)
- Датчик света
- Датчик дождя
- Беспроводное зарядное устройство
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 7` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
- Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 6 подушек безопасности: 2 фронтальные, 2 передние боковые, 2 боковые шторки
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- 2-х зонный климат-контроль
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40"
Toyota Corolla,https://im.mashina.kg/tachka/images//b/e/a/beabac55c77b7fccee9bf50bec424fcf_640x480.jpg,3 195 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- Легкосплавные диски, шины 225/45R17
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Тонировка задних стекол
- Механическая корректировка угла наклона фар
- Светодиодная передняя и задняя оптика
- Светодиодные передние противотуманные фары
- Электроскладывамые боковые зеркала заднего вида
- Электрообогрев лобового стекла в зоне стеклоочистителей
- Интеллектуальная система доступа в автомобиль Smart Entry и запуск двигателя Push Start
- Легкосплавные диски, шины 225/45R17 (новый дизайн)

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Салонное зеркало заднего вида с автоматическим затемнением
- Передние и задние датчики парковки
- Система мониторинга давления в шинах
- Круиз-контроль
- Обогрев заднего стекла
- Набор автомобилиста
- Комбинированная обивка сидений
- Электрорегулировка поясничной опоры для водителя
- Подогрев задних сидений
- Мультифункциональное кожаное рулевое колесо с подогревом
- Светодиодная подсветка салона автомобиля
- Воздуховоды для задних пассажиров
- Индикатор низкого уровня омывающей жидкости
- Коврик багажника
- Комплект секретных гаек (4шт)
- Датчик света
- Датчик дождя
- Беспроводное зарядное устройство
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 7` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
- Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 6 подушек безопасности: 2 фронтальные, 2 передние боковые, 2 боковые шторки
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- 2-х зонный климат-контроль
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40"
Toyota Corolla,https://im.mashina.kg/tachka/images//a/d/7/ad7112c20c9f7856f3110c662f700a9d_640x480.jpg,2 880 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- 16"" легкосплавные диски, шины 205/55R16
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Механическая корректировка угла наклона фар
- Галогеновые фары ближнего и дальнего света
- Светодиодные передние противотуманные фары
- Электрообогрев лобового стекла в зоне стеклоочистителей

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- Тканевая обивка сидений
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Система мониторинга давления в шинах
- Обогрев заднего стекла
- Набор автомобилиста
- Мультифункциональное кожаное рулевое колесо с подогревом
- Индикатор низкого уровня омывающей жидкости
- Датчик света
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 4.2` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 4 подушки безопасности: 2 фронтальные, 2 передние боковые
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- Кондиционер
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40
"
Skywell ET5,https://im.mashina.kg/tachka/images//5/a/e/5ae9496a944012bf0efadff04035377a_640x480.jpg,3 647 020 сом,"Кроссовер skywell et5.
Комплектация lv3 (Максимальная)
имеет очень комфортный и продуманный салон с подогревом и обдувом передних сидений, так же имеется беспроводная зарядка для телефона, и 12.3 дисплей

15 автономных функций
Скорость зарядки - от 30 мин до 9 часов
Авторизированный сервис
Запас хода до 520 км
Максимальная скорость - 150 км
Мощность двигателя - 150квт
Максимальный крутящий момент - 320 н-м
Система рекуперации энергии
Быстрая зарядка
Подогрев батареи
При гарантийном случае замена или ремонт предоставляется бесплатно️
Литиевой батарее в течение 8 лет
Компания гарантирует авторизованный сервис от завода-производителя электромобиля!"
Toyota Corolla,https://im.mashina.kg/tachka/images//f/e/f/fef9cfb2c4a375aed34a6dbddff926e3_640x480.jpg,2 880 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- 16"" легкосплавные диски, шины 205/55R16
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Механическая корректировка угла наклона фар
- Галогеновые фары ближнего и дальнего света
- Светодиодные передние противотуманные фары
- Электрообогрев лобового стекла в зоне стеклоочистителей

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- Тканевая обивка сидений
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Система мониторинга давления в шинах
- Обогрев заднего стекла
- Набор автомобилиста
- Мультифункциональное кожаное рулевое колесо с подогревом
- Индикатор низкого уровня омывающей жидкости
- Датчик света
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 4.2` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 4 подушки безопасности: 2 фронтальные, 2 передние боковые
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- Кондиционер
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40
"
Skywell ET5,https://im.mashina.kg/tachka/images//f/8/8/f889e33791472a82b2d4e89ba3ca2e6b_640x480.jpg,3 647 020 сом,"Кроссовер Skywell ET5.
Комплектация lv3 (Максимальная)
имеет очень комфортный и продуманный салон с подогревом и обдувом передних сидений, так же имеется беспроводная зарядка для телефона, и 12.3 дисплей

15 автономных функций
скорость зарядки - от 30 мин до 9 часов
авторизированный сервис
запас хода до 520 км
максимальная скорость - 150 км
мощность двигателя - 150квт
максимальный крутящий момент - 320 н-м
система рекуперации энергии
быстрая зарядка
подогрев батареи

при гарантийном случае замена или ремонт предоставляется бесплатно️
литиевой батарее в течение 8 лет
2 года гарантии на заводской брак
1 год сервисного обслуживания

компания гарантирует авторизованный сервис от завода-производителя электромобиля!"
Toyota Corolla,https://im.mashina.kg/tachka/images//3/1/e/31ebfcb905d94b154dbee4a808e3f65a_640x480.jpg,3 195 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- Легкосплавные диски, шины 225/45R17
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Тонировка задних стекол
- Механическая корректировка угла наклона фар
- Светодиодная передняя и задняя оптика
- Светодиодные передние противотуманные фары
- Электроскладывамые боковые зеркала заднего вида
- Электрообогрев лобового стекла в зоне стеклоочистителей
- Интеллектуальная система доступа в автомобиль Smart Entry и запуск двигателя Push Start
- Легкосплавные диски, шины 225/45R17 (новый дизайн)

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Салонное зеркало заднего вида с автоматическим затемнением
- Передние и задние датчики парковки
- Система мониторинга давления в шинах
- Круиз-контроль
- Обогрев заднего стекла
- Набор автомобилиста
- Комбинированная обивка сидений
- Электрорегулировка поясничной опоры для водителя
- Подогрев задних сидений
- Мультифункциональное кожаное рулевое колесо с подогревом
- Светодиодная подсветка салона автомобиля
- Воздуховоды для задних пассажиров
- Индикатор низкого уровня омывающей жидкости
- Коврик багажника
- Комплект секретных гаек (4шт)
- Датчик света
- Датчик дождя
- Беспроводное зарядное устройство
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 7` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
- Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 6 подушек безопасности: 2 фронтальные, 2 передние боковые, 2 боковые шторки
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- 2-х зонный климат-контроль
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40"
Chevrolet Tracker,https://im.mashina.kg/tachka/images//6/f/f/6ff10b7075e40867fb1e91e4fe4b4d48_640x480.jpg,2 431 000 сом,no description
Chevrolet Cobalt,https://im.mashina.kg/tachka/images//5/9/e/59e690eb2d22c7a0a4eba7cf9cdfa11a_640x480.jpg,1 428 000 сом,"Chevrolet Cobalt в комплектации Elegant AT 2022

Автомобиль в пути, сборка Узбекистан.
Гарантия на автомобиль - 3 года/100 тыс. км.
"
Huawei Seres SF5,https://im.mashina.kg/tachka/images//0/0/3/003b264bb81536db2dd472f62d16237e_640x480.jpg,4 306 120 сом,"Кроссовер оснащен высокотехнологичной информационно-развлекательной системой, которая, по словам разработчиков, подключается к смартфонам за считанные секунды и автоматически передает музыку и навигационную информацию между ними. Есть также технология распознавания голоса и аудиосистема с 11 динамиками и двумя сабвуферами. Переходя в салон, водители найдут цифровую панель приборов, расположенную за двухспицевым рулевым колесом. Модель также имеет деревянную отделку, металлические акценты и поворотный переключатель передач. Среди других особенностей, это система окружающего освещения, люк в крыше и передние сиденья с функциями подогрева, вентиляции и массажа. Инженеры уделили особое внимание снижению уровня шума, вибрации и жесткости. В рамках этих усилий модель оснащена двухслойным передним стеклом и большим количеством звукопоглощающих материалов. Компания утверждает, что благодаря им уровень шума в салоне составляет всего 38 децибел на холостом ходу.

Гарантия 
На батарею 8 лет
На заводской брак 2 года
Сервисное обслуживание 1 год"
Toyota Corolla,https://im.mashina.kg/tachka/images//3/b/d/3bda1d30d11b13d70653d78a1068fd44_640x480.jpg,2 880 000 сом,"ЭКСТЕРЬЕР
- Дверные ручки, окрашенные в цвет кузова
- Светодиодные дневные ходовые огни
- Система головного освещения с автоматическим отключением `Follow me home`
- Задние противотуманные фонари
- Передние и задние брызговики
- Защита картера двигателя
- Антенна `плавник акулы`
- Тормозные фонари с сигнализацией аварийной остановки
- 16"" легкосплавные диски, шины 205/55R16
- Боковые зеркала заднего вида с электрорегулировкой и подогревом
- Механическая корректировка угла наклона фар
- Галогеновые фары ближнего и дальнего света
- Светодиодные передние противотуманные фары
- Электрообогрев лобового стекла в зоне стеклоочистителей

КОМФОРТ
- Полноразмерное запасное колесо
- Регулировка рулевой колонки по вылету и наклону
- Тканевая обивка сидений
- 2 подстаканника для передних пассажиров
- Камера заднего вида со статичными линиями разметки
- Система мониторинга давления в шинах
- Обогрев заднего стекла
- Набор автомобилиста
- Мультифункциональное кожаное рулевое колесо с подогревом
- Индикатор низкого уровня омывающей жидкости
- Датчик света
- Задний подлокотник с подстаканниками

МУЛЬТИМЕДИА
- USB разъем
- Bluetooth
- Цветной многофункциональный 4.2` дисплей
- Мультимедийная система с поддержкой Apple Car Play / Android Auto, дисплей 8`, 6 динамиков
- Разъем Type C (спереди)

БЕЗОПАСНОСТЬ
- Антиблокировочная система (ABS)
- Крепление ISOFIX для детских кресел
- Система курсовой устойчивости (VSC)
- Система помощи при подъеме по склону (HAC)
- 4 подушки безопасности: 2 фронтальные, 2 передние боковые
- Система экстренного вызова

ПРОТИВОУГОННЫЕ СИСТЕМЫ
- Центральный замок с ДУ
- Иммобилайзер

ИНТЕРЬЕР
- Кондиционер
- Комплект резиновых ковриков для 1-го и 2-го рядов сидений
- Механическая регулировка водительского сиденья
- Подогрев передних сидений
- Складываемый второй ряд сидений в соотношении 60:40"
BMW 7 серии,https://im.mashina.kg/tachka/images//f/1/f/f1fb26d9daaeeaf622887c79b5d5d517_640x480.jpg,20 651 800 сом,"740i sedan 
Один из двух в КР двухцветных БМВ 7 серии
Флагман от компании БМВ
Для действительно серьезных людей, кто любит комфорт, люкс и динамику в одном автомобиле
Самый инновационный автомобиль из линейки БМВ

Комплектация:
01CE Рекуперационная система
01DB ABGASNORM EU6C
01FD BMW л/с диск Aerodynamik 909M STD
0212 Оснащение тормозной системой экспорт.
02PA Фиксатор колесного болта
02TB Спортивная АКПП
02VB Индикация давления в шинах
02VC Набор для ремонта шин
02VH Интегральное активное рулевое управление
0320 Отсутствует обозначение модели
0337 Спортивный комплект стиль M
033B М СПОРТ ПАКЕТ PRO
0356 Стеклопакет с пов.климатич.комф.
03CD Автоматические двери
03DM BMW ХРУСТАЛЬНАЯ ФАРА ICONIC GLOW
03M1 СПОРТИВНЫЙ ТОРМОЗ M ТЕМНО-СИНИЙ МЕТАЛЛИК
03MY M TWO-TONE LACK. SAPHIRSCHWARZ MET.
0407 Панорамная стеклянная крыша Sky Lounge
0416 Солнцезащитная штора Зд/Бок
0420 Солнце защитное остекление
0428 Знак аварийной остановки и аптечка
043B Карбоновое волокно с серебр.нитями/черн
0453 Сиденья Пд с вентиляцией
0454 Кондиционируемые сиденья Зд
0465 Сист.с люком д.перевозки длинном.предм.
046A МУЛЬТИФУНКЦИОНАЛЬНЫЕ ЗАДНИЕ СИДЕНЬЯ
04A2 Стеклянная накладка Crafted clarity
04F4 Executive Lounge Seating
04F5 Executive Lounge Fondkonsole
04FL Багажная система Travel & Comfort
04FM Многофункц.сиденья водителя и пер.пас.
04HC Пакет Waermekomfort
04T6 Массажная функция для задн.части салона
04T7 Массажная функция для водит. и ПАСС Пд
0548 Спидометр
05AU Driving Assistant
05DN Система парковки Plus
06CP Подготовка Apple Carplay
06F1 Bowers & Wilkins High End Sound System
06NX Лоток для беспроводной зарядки
06U3 BMW Live кокпит Professional
06U7 BMW Natural Interaction
0710 Кожаное рулевое колесо в M-стиле
0754 задний спойлер M
0760 Shadow-Line с зеркальным блеском
0776 Потолок Alcantara антрацит
07M7 BMW INDIVIDUAL INTERIEUR
07M9 Инд.блестящая отделка Shadow Line
0842 Исполнение для стран с холодным климатом
0861 Набор данных без EOBD
08KM Интервал замены масла 12 000 км/12 мес.
09T1 M SPORT EXTERIEURUMFAENGE
09T2 ПАКЕТЫ ОТДЕЛКИ САЛОНА M SPORT
09TB SPEZ. ZUSATZUMF. M SPORTPAKET PRO
A070 Аккумулятор AGM 70 ампер-час"
